Actress Name,Picture URL
Aakash Dwivedi,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhmcj_sajMC92JURYCIPei0amBpKWdsA6iFp_THnjxqvj1HPxix3YLzbLsWlIojpEfmvzQoZSn_nopVkkd3D3cYdMIw-ck0KYXWIwdJx2j-IYHasHuXp-sDbHdCotj6mvlX7MnUYQ7y8oYrVUG7USw_3G6Tqi4d762vl2_PUlLa9bMOrVv_OzGnR2_HF8Q/s1600/Aakash%20Dwivedi.jpeg
Aarohi Jhalo,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi3xyxiFZ_M_l3u6_ZUFTCRRkBewG7h79Qh6RSlgZNqvc4ntxywtuxtT4whk-mPLeS3m-baOInDLizz3PImZSzHalalTVZ0es-Uj2eYsL6XNBIIQ14xV_dyMcd-Q8SDqWL-vQJ9yXOSFG0hRdwzP1wHma8ySc3DhTTSjA6zu93VFNDfYrdXRlYcbInIJI8/s1600/Aarohi%20jhalo.jpg
Aarohi Patil,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiDfPwWCi4i85SohiAIo7gCPlDkEUvVz4pHdpuuTwHFZ2ZanVVMOD2tlKv5MBcPNQkR7xBCyFbO_5gaCe9NpuYhPD-eWHdBaE2vYxgmM8Pd5Y4c4OEI4KmZyRB2MSN5XF8Qr6v0WJH0J_aF_MrLfWw9OSzcGcV0iGwp9qJu4CA80himSAapWCHoG_jDayg/s1600/Aarohi%20Patil.png
Arvi aka Sanjana tusamband,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhyqhTecjyX7rVWbPv5Sku0l0yOllITUruWzXqy1chO_pGJF-dgrj0oSW09UX0A0-7vW8lQgNhZOHsQEw6G-zEoc5gCymTBVmb2amH6Qg0lLucB2tGcpkUHv1-_nIFZgKnVpzIiAfzYSnJJs2GmEW2V-Eh64MTXCSz3e5T63BrCOmWnWgiAT1ioNIqzrh0/s1600/Aarvi.png
Akhilesh Yadav,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEisfyPRONGatPs8XW2dybv_Npc97VlXZ_-SDS9450vgd-vX98qox1s7-L1FNofBWVQjz-_lbrcPqupmraRBC1JdrLQEXyB0nFhGppocIBtQmGYw29isNcIYBskvRLDotyYHlce8aYJ__l06hDSf84FW-qz0KseEAgOPIXMey2V74lH3IQOS1Of-3e_iH2U/s1600/Akhilesh%20Yadav.png
Alka Raj,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEguPmd4yMzBBhuzD1TXfUgFsrdqyt62i4AQENtpNN3LTGaIY2N1krbxIhM_F6cZY1Wg0FlqnJDCpG8aMbIHKZ7IPyIlCr5XKh1hWedWN_NbUoOyy81VfufdX6zA5N0ZxjAULjOiMnatU7YPs-C47FQFzcG8K5t_ei3HJh41EW57F2RMCUHPDolyLxg34V0/s1600/Alka.jpg
Aman,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjzwds708RbgGY9NRInpwJF0a11sSyT6nevghEYO_BSFD2FaCAF9NH7xiP-5jcV4GWjmen6OxgBHs1ZFQKdgbpU3pMSoG9CMLIeoTyxI-L2SqqMi2KhN8VuRhDy9xAijRw4eP8qH877Me1NgNoynDAw9SESXFUPQJmWFNdn_Ur6Q4kcGbfk-2gEQn-r7RU/s1600/Aman.png
Amisha,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiatpqHeOcdQ5Au-JkJXsdbG-rjLeruUVSKHbLDg1vDltmf_-2oOq_dUS2gajKlrgaooZEi6v5ckLqe6H0gefTKXKxX6n-qH_r4WXcF36yZxtAvy8d6oL9x0JFgtlljddtyOLf0AoD8fvalNOJCJlPQmCdb-kruXxNEstR47Gsa26-C9cRbjrkuczGTyu0/s1600/Amisha.png
Anita,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj1v99BjE_RdiLqcMh6S_lBJtTMlyZH1eYk_hq7W-yt6hUuXyOdf4dPT6ncsuMaQJPaEnV53I5rqS1ntrah6tgzEWmDBmlao2LhZkYDdXENcjoZlBqmth3y22_60JHEp5EU1CryZra0N1KRGyot4Ak1hWgTme-IOo05Aii11WblCL3WeYyyRWcPFPRlmGk/s1600/Anita.png
Ayesha Khan,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhqZTh0YP0Rq0ZVbHbDvLpT8E1OJZxapDx3nA_Bchc85dKuf-cGcIVeZLMW4qMtN2e__CUqm3ElLOSMyHZjJn4yXQ5BkgU7DgpnyJS0I7GgN5Irb2evz9Bf-R633hPjeDlYZrVC3XMw0AiEYmket7SPaJuz70hbORnZcn49KTnOgxQLhjXsD_et3yZheTs/s1600/Ayesha%20Khan.jpg
Baby Maluzz,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiai4O2JINpUh8nnJ1K3_IIvFnVqg3GvOQS2NP8z1wYiXWqE0X9kV4YJCbjVK3j3wuqoqysH146wBA_pP8aZtq2_CLzmm1cotBk-D0_4f07HiJum5cgleh93rAV5BAb4FJTtqYBarzjfMLQQYc8J86d8fW2CSOy95QalsCvH3s8fZdlj9CFtKFhK7S1KN8/s1600/Baby%20Maluzz.png
Chandrima Sahay,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEigj-4FtSQqkDS9NFCiKIEHfiD8SNrlazy0nH5i5tm4PXUmi2sLvggB2qEvYTxY1yhux5WRbPeDvr9_eWZMROXD3IX4hubjEVaqmnT7gii6OXRTsb6W5vYcPJIhaWVi6CdB-jZobyElcXKYnQaQ6fIRWlv272Mn8P0uI1_vrgTFOnzoeEWxP7kX8_mXtco/s1600/Chandrima%20Sahay.png
Deep Singh,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjviiLEJW43FJ9mbzKF1N83i4E6e9LoWZl_L379iDqL9kxN0oNT51yiKyDn6EaQOre3vkF8xKpJ23SPzSsDVDOoOIUv9ahDQLwjZYbdpATsfh7G6tqY_khqCnFoH3D2dySA4sQ5JE3HdCcq2dQP0so4s-lHQIYF4cQqgu_ElW-095Hetn7BYaigKBXWxVk/s1600/Deep%20Singh.png
Dipali Bhabar,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgwkGY42-3dvdOKfbgXyQFyn97pJWJ8RWELvd2YgmaVc9Mg5KaYvftklKjudicrsYB0PaLcRNg6jbNn_R22yxV7bS2YhLDHdTjc3nWk8zfqD7SWO-A-qH7sysdMocqcPRSSmA5PoYoGV4v1O2lD9penD_o11rU0DSU-6-47XYMC7QxKKTw0x-rQJNz604E/s1600/deepali%20bhabar.jpg
Dimple,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhw7s2hpAWtyoV4BvZVTSDbmRExRAVtwXbyIzcXQcZreKeKPbLaVGB4VChtkeXNA7aoQ_vlP1S10-JOSnYGUrgffrMUQ8niQprYwC0crpXVLjKRMHbzqu8OnoRcgJW_rWvaJkkDh6jLDgp6Gsak9zFC7GpKDZ5wsGmj3-FnmaYkRscMmpXC1O2aPxAUXE0/s1600/Dimple.png
Dipavali Khandagle,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh1Nhak_4Np89BwR8ZcgReI-EJFPeqQuaqIGLD1EJes8Zn9cnfr9Z3SPtTdRrOQSExn8OAVKqb9DZam_oV8LlFwSbi-6Z2ZUiZEjHRNzitc6dQsOEn6Ed-Q1wOGkNFQNU5XXqUAMLsGFE8SkGygx5Sr3Gjh0W0GdnWqRVlD3w60NDZduTJRwG5K-1uzEvE/s1600/Dipavali%20khandagale.jpg
Pooja (as Divya Prakash Saini),https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgxRZa7HnOnnuTX07467tuCsrGWgBaQpWb54aP-OGJdkTMiEu3SKLCJF40F3Kan88wwA2rezZOSibPNP9t2el8zIMVtJrjGtG4FPP8tFv0D9hoRJ0EVSPtt35mO1ZkljCTK9UItzWN5usSnWLCXzZ5JLs8U_1_R7005lkNCfUCtN86UFIIWc8R8Gnw4HpY/s1600/Divya%20Prakash%20Saini.jpg
Gargi Khakhalary,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhACZM3k-RxNKCoCMsfkPpBIARZjTXjOQQyLn3LI8Mmvgc8_xkhz-MjpmY6vsnxZWxZEYrogR45-ALnff3Es8pKvmU4pROMel9ELpxyBcWlWIc55qamivXEjOwvaBj8qnfCGsUCb_h7vbcR0rxx8ePnJUwomMw7nb5sWvo6_XuO233jFg0eG1MRYp0YHHI/s1600/Gargi.jpg
